Set Number,Numbers
108,"3, 5, 6, 9, 10, 12, 13, 16, 17, 20"
109,"1, 4, 6, 9, 10, 14, 16, 19, 20"
110,"18, 20"
111,"1, 3, 4, 5, 7, 8, 10, 12, 14, 15, 16, 18, 19, 20"
112,"5, 6, 12, 13, 14"
113,"2, 3, 5, 6, 7, 10, 11, 12, 13, 16, 17, 20"
114,"11, 20, 14, 7"
115,"1, 5, 6, 11, 14, 16, 17, 18"
116,"2, 3, 12, 5"
117,"2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 20"
118,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
119,"1, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20"
120,"2, 7, 12, 13, 16"
121,"1, 3, 9, 10, 12, 13, 15, 16, 18"
122,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
123,"1, 2, 3, 4, 8, 9, 10, 11, 13, 16, 17, 18, 20"
124,"2, 3, 4, 5, 6, 8, 10, 12, 14, 15, 16, 17, 19, 20"
125,"1, 2, 3, 6, 7, 8, 9, 10, 12, 16, 17, 19"
126,"1, 2, 6, 7, 8, 11, 12, 13, 14, 15, 20"
127,"2, 3, 4, 11, 12, 14"
128,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 16, 17, 18, 20"
129,"1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 16, 17, 18, 19, 20"
130,"1, 5, 8, 13, 15, 16, 17"
131,"1, 3, 6, 11, 14"
132,"2, 4, 6, 9, 10, 11, 13, 14, 16, 17, 20"
133,"8, 17, 13"
134,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20"
135,"1, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20"
136,"6, 7, 8, 10, 14, 16, 17, 19"
137,"1, 2, 10, 12, 13, 16, 19"
138,"2, 4, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19"
139,"1, 2, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 20"
140,"2, 5, 6, 7, 14, 15, 16, 19"
141,"7, 8, 9, 10, 12, 13, 17"
142,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
143,"8, 19, 3, 15"
144,"18, 9, 10, 3"
145,"8, 16, 20, 17"
146,"5, 8, 9, 11, 14, 16, 20"
147,"1, 2, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18"
148,"19, 13"
149,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
150,"1, 6, 7, 9, 11, 12, 14, 16, 18"
151,"5, 8, 14, 15, 16, 20"
152,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
153,"11, 20"
154,"3, 7"
155,"3, 4, 8, 9, 12, 15, 20"
156,"2, 3, 5, 7, 15, 16, 17, 19, 20"
157,"1, 3, 4, 5, 7, 9, 10, 12, 13, 15, 17, 18"
158,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20"
159,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
160,"1, 4, 5, 6, 9, 10, 12, 13, 19"
161,"1, 3, 6, 8, 9, 17, 19, 20"
162,"16, 8"
163,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
164,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20"
165,"1, 2, 4, 5, 6, 10, 11, 12, 13, 14, 16, 18, 20"
166,"2, 3, 5, 6, 7, 8, 9, 13, 16, 17, 19"
167,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19"
168,"3, 4, 6, 7, 8, 10, 11, 13, 15"
169,"1, 6, 8, 10, 16, 19"
170,"1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19"
171,"2, 5, 6, 7, 14, 16"
172,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 16, 19"
173,"4, 7, 11, 12, 14, 15, 16, 17, 18, 20"
174,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 18, 19"
175,"1, 10, 3"
176,"1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20"
177,"2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18"
178,"1, 2, 4, 5, 9, 10, 11, 15"
179,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
180,"1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
181,"9, 10, 11, 12, 16, 17, 18, 19"
182,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20"
183,"4, 5, 6, 7, 8, 9, 10, 13, 15, 17, 20"
184,"1, 3, 5, 9, 10, 13, 14, 15, 16, 17, 20"
185,"16, 3, 14, 6"
186,"1, 3, 4, 5, 6, 7, 9, 10, 12, 14, 15, 16, 17, 19"
187,"1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
188,"3, 4, 7, 9, 11, 13, 14, 16, 17, 19, 20"
189,"1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
190,"1, 3, 4, 5, 6, 8, 11, 12, 13, 15, 18, 19"
191,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 19"
192,"1, 4, 11, 14, 15"
193,"1, 2, 4, 6, 8, 13, 15, 16, 17"
194,"2, 5"
195,"1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
196,"1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 14, 17, 20"
197,"1, 8, 9, 14, 18, 19"
198,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 17, 18, 19, 20"
199,"1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
200,"1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20"
201,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
202,"4, 9, 10, 14, 19, 20"
203,"1, 3, 4, 5, 11, 15, 16, 17, 18, 19, 20"
204,"16, 18, 10, 4"
205,"1, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 17, 19, 20"
206,"3, 4, 6, 9, 14, 16, 20"
207,"1, 6, 7, 10, 11, 16, 19"
208,"3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19"
209,"5, 7, 8, 9, 13, 20"
210,"1, 2, 3, 4, 5, 6, 8, 11, 13, 14, 16, 17, 18, 19, 20"
211,"2, 13"
212,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
213,"1, 2, 3, 4, 8, 11, 15, 16, 17, 20"
214,"1, 3, 10, 11, 13, 16, 17, 19, 20"
215,"5, 6, 8, 9, 11, 13, 16, 17, 18"
216,"3, 5, 6, 8, 9, 10, 12, 15, 16, 17, 18, 20"
217,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
218,"11, 15"
219,"1, 18, 19, 15"
220,"8, 11, 15, 16, 17, 18, 20"
221,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
222,"1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
223,"1, 10"
224,"1, 7, 12, 14, 20"
225,"1, 3, 6, 8, 9, 10, 16, 17, 19"
226,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20"
227,"1, 2, 3, 4, 6, 7, 10, 11, 13, 14, 16, 17"
228,"4, 5, 6, 7, 10, 14, 17, 20"
229,"1, 6, 9, 10, 12, 14, 20"
230,"1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 14, 16, 17, 18, 20"
231,"3, 5, 11, 16, 17, 18"
232,"1, 2, 7, 13, 16, 17"
233,"8, 4, 13, 6"
234,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
235,"1, 2, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
236,"2, 10, 11, 13, 16"
237,"2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
238,"16, 1, 14"
239,"1, 2, 3, 4, 6, 7, 8, 10, 11, 13, 15, 18, 19, 20"
240,"1, 4, 6, 7, 9, 10, 14, 16, 19"
241,"1, 2, 4, 5, 9, 12, 14, 15, 18, 19"
242,"4, 10, 14, 15, 17"
243,"3, 6, 7, 9, 10, 12, 14, 15"
244,"1, 2, 4, 7, 8, 12, 13, 14, 15, 16, 18, 19"
245,"3, 6, 7, 9, 12, 13, 16, 17, 19, 20"
246,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
247,"3, 4, 6, 8, 9, 10, 14, 15, 19"
248,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20"
249,"9, 2, 1, 17"
250,"1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 15, 20"
251,"9, 2, 5"
252,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
253,"1, 2, 4, 5, 7, 8, 10, 12, 14, 15, 16, 17, 18, 20"
254,"10, 13"
255,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
256,"3, 4, 6, 7, 12, 14, 16"
257,"1, 4, 9, 15, 19, 20"
258,"2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
259,"2, 5, 6, 8, 13, 16, 17, 18"
260,"2, 4, 7, 10, 13, 14, 15, 16, 19, 20"
261,"2, 3, 6, 7, 8, 10, 14, 15, 17"
262,"1, 3, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20"
263,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20"
264,"1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20"
265,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
266,"2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20"
267,"2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 20"
268,"1, 2, 3, 10, 11, 16, 17, 18, 20"
269,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
270,"2, 3, 9, 10, 15"
271,"3, 5, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 20"
272,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
273,"3, 5, 7, 9, 11, 13"
274,"9, 12, 6, 14"
275,"3, 7, 9, 12, 19"
276,"1, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 18, 20"
277,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
278,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
279,"1, 2, 6, 8, 9, 10, 11, 13, 14, 16, 20"
280,"1, 2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
281,"1, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 20"
282,"1, 4, 7, 14, 15, 16, 18, 19"
283,"2, 4, 8, 9, 12, 13, 14, 16, 17, 19"
284,"8, 10, 20, 14"
285,"2, 3, 4, 5, 6, 7, 10, 11, 13, 15, 16, 17, 18, 20"
286,"8, 17, 1, 14"
287,"8, 15"
288,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
289,"19, 9, 2, 11"
290,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
291,"6, 11, 14, 15, 19"
292,"1, 4, 5, 6, 9, 11, 12, 14, 15, 17, 20"
293,"1, 2, 4, 10, 11, 12, 15, 18, 19, 20"
294,"1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20"
295,"1, 10, 14"
296,"1, 2, 6, 9, 10, 11, 13, 15, 16, 17, 19, 20"
297,"2, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
298,"2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20"
299,"8, 9, 12, 16, 18"
300,"3, 4, 8, 9, 10, 20"
301,"5, 6, 7, 8, 9, 10, 12, 14, 17, 18"
302,"1, 10"
303,"1, 3, 4, 5, 7, 9, 11, 12, 13, 14, 16, 17, 18, 19"
304,"2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
305,"1, 3, 4, 5, 6, 8, 9, 10, 11, 13"
306,"1, 3, 5, 12, 15, 17"
307,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20"
308,"2, 6, 14"
309,"1, 2, 3, 4, 6, 7, 8, 10, 12, 14, 16, 17, 19"
310,"1, 5, 9, 11, 13"
311,"1, 2, 3, 4, 5, 6, 8, 9, 13, 15, 16, 17, 18, 19, 20"
312,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
313,"16, 4"
314,"3, 4, 10, 14, 16, 19"
315,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18"
316,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
317,"16, 18, 4, 13"
318,"1, 3, 8, 9, 10, 15, 18, 19"
319,"19, 3, 4"
320,"17, 18, 20, 4"
321,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20"
322,"1, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 18"
323,"16, 14"
324,"1, 5, 6, 8, 9, 15, 19, 20"
325,"2, 5, 7, 8, 9, 13, 17, 18"
326,"1, 3, 4, 9, 10, 11, 14, 15, 16, 17, 18, 20"
327,"8, 12, 13, 14, 15, 16"
328,"3, 12, 5, 15"
329,"1, 2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 20"
330,"1, 2, 3, 5, 7, 8, 10, 12, 13, 15, 17, 20"
331,"1, 3, 4, 5, 8, 13, 16, 19"
332,"1, 3, 4, 5, 7, 8, 9, 10, 12"
333,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
334,"4, 7, 11, 17, 19"
335,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
336,"1, 3, 5, 7, 9, 10, 13, 15, 18, 19"
337,"18, 12, 6"
338,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20"
339,"9, 12, 14"
340,"2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20"
341,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
342,"1, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20"
343,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
344,"1, 3, 5, 6, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
345,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
346,"1, 15"
347,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20"
348,"1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20"
349,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19"
350,"1, 4, 7, 8, 12, 14, 15, 19"
351,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
352,"3, 6, 7, 8, 10, 11, 14, 19, 20"
353,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
354,"1, 2, 3, 6, 13, 14, 17"
355,"4, 9, 12, 16, 19"
356,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
357,"1, 5, 12, 14, 19"
358,"2, 3, 5, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20"
359,"3, 15"
360,"1, 2, 3, 5, 11, 12, 13, 15, 17"
361,"3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20"
362,"16, 4"
363,"1, 6, 7, 8, 10, 11, 13, 17, 18"
364,"1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 14, 16, 17, 18, 19"
365,"1, 4, 5, 6, 8, 9, 19, 20"
366,"1, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
367,"1, 2, 9, 11, 14, 15, 17, 18, 20"
368,"1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 20"
369,"6, 11, 13, 14, 16, 20"
370,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
371,"2, 8, 15, 16, 20"
372,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
373,"1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20"
374,"1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"
375,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20"
376,"1, 3, 4, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
377,"4, 6, 9, 11, 13, 14, 15, 17, 18"
378,"1, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20"
379,"2, 5, 6, 8, 11, 12, 13, 14, 15, 16, 18"
380,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
381,"3, 6, 7, 8, 17"
382,"1, 10"
383,"1, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20"
384,"2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19"
