dep_time,origin,destination
18005.5,69520,34722
18005.7,18033,64037
18005.7,41352,114867
18005.8,184428,79303
18005.8,211576,171435
18005.9,175076,214198
18005.9,173903,27154
18006.1,35203,69328
18006.1,28058,194620
18006.1,71394,73860
18006.2,188117,89884
18006.2,166261,69201
18006.2,65829,221801
18006.2,166273,111037
18006.3,11557,929
18006.3,34293,167015
18006.5,42357,194309
18006.5,184986,112115
18006.6,29327,19724
18006.7,181146,39073
18006.8,218784,96787
18006.8,38821,112666
18006.8,80808,95591
18006.9,208698,10458
18007.1,55070,178799
18007.1,26946,92714
18007.1,106529,162702
18007.2,62059,42598
18007.4,212538,46413
18007.5,6497,47018
18007.6,87080,205097
18007.7,210301,175612
18007.8,212533,65055
18007.8,206405,183835
18007.8,10151,123388
18007.8,214063,120665
18007.9,215098,208495
18008.0,58438,6203
18008.0,104455,86051
18008.0,18198,202722
18008.1,168160,133537
18008.1,221160,140565
18008.1,7235,30236
18008.2,68475,46810
18008.3,69590,10028
18008.3,113918,90619
18008.3,82228,114398
18008.4,134066,30315
18008.4,151149,49828
18008.4,185803,114309
18008.4,211421,141151
18008.5,194497,193210
18008.5,95478,113062
18008.5,174125,86559
18008.6,173903,222302
18008.6,78727,132939
18008.6,107057,85506
18008.6,77504,145335
18008.6,110217,174307
18008.8,177554,196118
18008.9,161353,149187
18008.9,143638,218556
18008.9,75212,55098
18008.9,152039,159032
18009.0,121893,115811
18009.0,56020,134001
18009.1,208673,192927
18009.1,22228,74392
18009.1,165921,162335
18009.1,214544,196906
18009.1,81374,58888
18009.2,38627,6402
18009.2,124554,160241
18009.3,19091,119384
18009.3,165089,150908
18009.4,182545,100657
18009.4,63959,38684
18009.4,1453,196860
18009.5,27941,204058
18009.6,46107,210792
18009.7,135779,121778
18009.7,65325,222386
18009.7,34954,210086
18009.8,139233,146518
18009.8,197984,116017
18009.9,188553,132324
18009.9,143621,116893
18010.0,194944,124433
18010.0,197073,64812
18010.1,72695,200753
18010.2,127034,164298
18010.2,115309,20311
18010.3,61471,71228
18010.3,141597,21122
18010.3,60623,100410
18010.4,185183,56086
18010.4,106849,86738
18010.4,108992,16322
18010.4,110138,102099
18010.5,153112,182327
18010.5,200696,150913
18010.6,1545,92211
18010.6,102232,219081
18010.6,195956,192579
18010.7,158139,57812
18010.7,71548,114251
18010.7,101936,88114
18010.8,209228,105989
18010.8,220333,122523
18011.0,163120,140017
18011.0,103290,155161
18011.0,7104,22006
18011.1,35572,121031
18011.1,68198,99379
18011.1,119196,85680
18011.1,99385,72943
18011.2,218083,110510
18011.2,21471,123288
18011.2,141405,13653
18011.7,91740,58778
18011.7,204795,170853
18011.7,8134,64823
18011.7,5342,162879
18011.7,33088,124141
18011.8,147841,57138
18011.8,67172,201037
18011.9,158831,159186
18012.0,188313,30024
18012.1,42930,81536
18012.1,6731,81777
18012.1,98384,103980
18012.3,51990,19922
18012.3,217729,164427
18012.3,182764,202501
18012.4,179374,157394
18012.4,208726,148355
18012.5,91017,139655
18012.6,97142,18076
18012.6,89451,3316
18012.7,215569,128503
18012.7,94945,166614
18012.8,120517,185416
18012.8,46173,192360
18012.8,170513,70800
18012.9,141078,203067
18012.9,114183,216461
18013.0,70358,84490
18013.1,217771,22718
18013.1,118175,63927
18013.2,149382,159994
18013.2,88184,7523
18013.3,85200,47668
18013.3,93015,209146
18013.3,73310,156278
18013.4,72422,145697
18013.4,50084,22442
18013.4,106542,128077
18013.4,62999,181039
18013.5,186605,128665
18013.5,4520,24393
18013.5,106011,181347
18013.5,174053,152451
18013.6,145089,139177
18013.6,195542,144281
18013.6,184249,118946
18013.6,65903,60434
18013.6,50484,82719
18013.6,140473,199803
18013.7,50211,56723
18013.7,72482,189945
18013.8,199283,137530
18013.8,26352,218268
18013.8,59633,94602
18013.9,3708,185602
18013.9,71909,11931
18014.1,145059,76581
18014.1,33103,167213
18014.2,128680,26892
18014.3,150487,74537
18014.4,115466,89314
18014.4,13468,66185
18014.5,125233,29907
18014.6,105043,128908
18014.6,165005,179949
18014.6,39111,212636
18014.7,79648,22329
18014.9,31051,146295
18015.0,158942,156271
18015.1,59162,203343
18015.1,118099,116056
18015.1,154278,112415
18015.2,162798,15789
18015.2,194009,26013
18015.3,54470,163975
18015.4,173127,21282
18015.4,45564,144701
18015.4,701,107090
18015.4,155664,123184
18015.4,60680,75524
18015.5,184283,119021
18015.5,61190,69351
18015.6,163855,154609
18015.6,51857,111447
18015.6,58932,169773
18015.6,69633,216696
18015.6,15633,43495
18015.7,155987,196334
18015.8,75657,115121
18015.8,180532,79715
18015.9,71367,131195
18015.9,114755,21087
18016.0,113253,192553
18016.0,65632,6780
18016.0,176763,219141
18016.1,153910,5438
18016.5,176234,215330
18016.5,10546,200044
18016.6,123338,136043
18016.6,72917,47576
18016.9,114264,166405
18017.0,23918,123210
18017.0,87374,84163
18017.1,42159,86456
18017.1,129884,75554
18017.1,104976,213271
18017.2,9619,119229
18017.2,66164,84744
18017.2,202518,105952
18017.3,216249,301
18017.4,142237,121104
18017.4,49173,135905
18017.4,198297,130676
18017.5,199226,13529
18017.5,143974,34344
18017.6,114849,183042
18017.7,7567,165156
18017.7,62730,186065
18017.7,144399,3584
18017.8,24434,58903
18018.0,29743,120965
18018.2,169793,218141
18018.2,187853,76509
18018.2,71676,108918
18018.3,123789,63892
18018.3,37917,100554
18018.3,157123,133232
18018.4,35784,18300
18018.4,207095,108774
18018.4,206495,133100
18018.5,672,74144
18018.5,219539,153862
18018.6,172999,128356
18018.7,117059,141185
18018.7,87147,144681
18018.8,98883,119365
18018.9,49454,182845
18018.9,100393,61226
18019.0,107682,11441
18019.0,123987,184871
18019.2,99937,101208
18019.4,207721,215154
18019.4,39873,129847
18019.6,33094,131672
18019.8,87030,26309
18019.9,115423,26138
18019.9,119780,4023
18020.0,107473,171646
18020.2,19615,123074
18020.2,69474,88751
18020.3,104197,170350
18020.3,86131,176778
18020.4,99617,83010
18020.4,199072,127912
18020.5,9410,161863
18020.5,165455,179411
18020.7,59634,195760
18020.7,25806,199326
18020.7,26347,116307
18020.7,78503,7588
18020.7,208704,14711
18020.8,98262,112901
18020.8,139242,108016
18020.8,207754,47200
18020.8,20701,159774
18020.9,162453,179079
18020.9,152871,37517
18020.9,167222,66578
18021.0,174808,2463
18021.1,121963,75400
18021.1,41412,19362
18021.2,90587,154028
18021.2,111230,180961
18021.2,221591,79199
18021.2,100845,126670
18021.2,99972,149926
18021.3,77561,183311
18021.3,217589,172550
18021.3,2122,148354
18021.4,204029,195210
18021.6,158965,195342
18021.6,75024,203355
18021.7,159138,210221
18021.7,166885,49841
18021.8,177671,198070
18021.8,172800,178482
18021.9,164691,25470
18022.0,169434,10334
18022.1,115559,8746
18022.1,191983,34448
18022.1,77361,85647
18022.2,46042,52637
18022.2,141402,95907
18022.2,71441,217703
18022.2,216187,126313
18022.4,77369,195706
18022.5,210824,30191
18022.5,19739,36898
18022.6,59143,177294
18022.7,104179,221706
18022.8,95885,23672
18022.8,3648,69326
18022.9,119219,96622
18022.9,176250,68724
18023.0,215591,167391
18023.1,28402,176904
18023.1,6560,162410
18023.2,147169,85984
18023.4,58030,169778
18023.4,215968,121704
18023.5,79217,170194
18023.5,36641,11887
18023.7,79787,129138
18023.7,61551,140914
18023.7,118919,97258
18023.7,194809,182579
18023.9,109871,153967
18023.9,40507,108759
18024.0,218547,128279
18024.0,73332,8576
18024.1,56955,116230
18024.1,61895,95075
18024.1,179746,96294
18024.2,169037,94024
18024.2,72320,49757
18024.4,222306,216056
18024.4,173740,55602
18024.4,156538,5598
18024.4,87427,63850
18024.7,206301,148000
18024.7,217531,200581
18024.7,153716,56610
18024.8,61079,86129
18024.9,206738,156233
18024.9,37929,34076
18024.9,209325,45743
18024.9,6758,34551
18024.9,207089,206682
18024.9,84874,4136
18024.9,13736,33228
18025.0,137910,29792
18025.1,124845,117512
18025.2,134542,155625
18025.2,132078,58077
18025.3,11367,190642
18025.4,172727,136695
18025.4,168647,8165
18025.4,125562,222114
18025.4,179856,28301
18025.5,116277,19265
18025.6,84439,159461
18025.6,33080,72093
18025.6,153449,143748
18025.7,99851,156602
18025.7,118938,132527
18025.8,25999,207905
18025.9,171629,170633
18026.0,144529,188963
18026.1,112740,118372
18026.2,108478,88848
18026.3,104524,109049
18026.3,81932,111873
18026.3,66817,98120
18026.5,180046,124326
18026.5,218044,22377
18026.5,25313,195189
18026.6,212800,34108
18026.6,153738,147216
18026.7,175639,32042
18026.7,174415,196682
18026.7,189021,13486
18026.9,157393,81906
18026.9,151497,133015
18026.9,172159,126403
18026.9,28368,91780
18027.0,96353,30116
18027.1,150496,59286
18027.2,221552,147053
18027.4,214545,162981
18027.4,168479,145945
18027.4,172446,217438
18027.5,7589,47294
18027.5,199861,80998
18027.6,92018,1600
18027.6,37552,148457
18027.7,18241,37191
18027.8,8036,24053
18027.8,56395,98617
18027.8,89363,41263
18027.9,189162,85035
18027.9,148791,156296
18028.0,13791,40784
18028.0,161962,13044
18028.0,71330,116159
18028.1,127313,159141
18028.1,71609,56510
18028.2,29836,90484
18028.2,74251,177790
18028.3,127567,138132
18028.3,11905,57807
18028.3,157109,14360
18028.3,79015,55373
18028.4,200320,66982
18028.4,31453,2026
18028.5,112893,46057
18028.5,139613,184463
18028.5,146466,218458
18028.5,92842,18894
18028.6,194521,11089
18028.6,120521,20411
18028.7,150931,112534
18028.7,185990,167809
18028.8,30192,106176
18028.8,85136,45055
18028.8,162037,120611
18028.9,94857,23102
18029.0,27751,63783
18029.0,104975,137353
18029.0,81336,195508
18029.0,87311,204241
18029.0,133820,165996
18029.0,133680,50830
18029.2,91586,92038
18029.2,214682,169199
18029.3,61936,26949
18029.3,51713,45481
18029.4,199285,199007
18029.4,46437,202597
18029.5,121622,197773
18029.5,151904,117677
18029.6,147978,168556
18029.6,163714,84727
18029.7,164421,82873
18029.7,17900,122924
18029.8,79382,208753
18029.8,14725,92259
18029.8,81371,121043
18029.8,14913,96662
18029.9,20114,168995
18030.0,23670,161220
18030.1,100789,121297
18030.1,207570,193703
18030.2,117894,212288
18030.3,49345,84286
18030.3,131430,39547
18030.5,118101,27132
18030.6,219513,90030
18030.8,22106,132264
18030.8,10260,64944
18030.9,115191,137381
18030.9,41614,95393
18030.9,74158,101558
18031.0,88700,177968
18031.0,206891,165383
18031.1,17278,86426
18031.1,177833,101335
18031.1,189722,223232
18031.1,157994,39419
18031.2,152761,173961
18031.2,91703,81325
18031.3,183102,173574
18031.4,155986,185816
18031.5,81155,146518
18031.5,207529,86108
18031.6,175666,184242
18031.7,193665,179677
18031.8,24498,169351
18031.9,133297,94851
18031.9,80967,47254
18032.0,89583,200843
18032.1,59386,36061
18032.1,77540,221361
18032.2,133087,202080
18032.2,193631,138027
18032.2,88280,200882
18032.2,156564,98754
18032.3,47407,217932
18032.3,163771,212085
18032.4,189053,114733
18032.4,95498,177304
18032.5,116444,160063
18032.5,196224,205468
18032.5,139987,62696
18032.6,211975,205617
18032.6,218919,50860
18032.6,149532,115499
18032.6,73864,203980
18032.7,138270,109749
18032.8,214143,52349
18032.9,36280,65536
18032.9,125983,97311
18033.0,26893,186489
18033.1,223128,32683
18033.1,200046,42024
18033.1,134572,38626
18033.2,24042,58205
18033.3,91641,6991
18033.3,103928,131598
18033.3,101231,21392
18033.3,7389,83541
18033.5,219985,187355
18033.5,207455,38285
18033.5,75203,217517
18033.6,217870,36383
18033.6,122974,117598
18033.7,20768,4981
18033.7,218880,39195
18033.7,190640,159614
18033.8,29146,203468
18033.8,78944,31941
18033.8,110054,167497
18033.9,119829,16464
18033.9,131027,156431
18033.9,165663,135102
18034.0,188362,37637
18034.0,410,161168
18034.0,149596,109200
18034.0,175168,22443
18034.1,94530,17741
18034.2,142627,132992
18034.3,133070,145267
18034.3,123243,11412
18034.3,97858,66492
18034.4,93610,206705
18034.4,63209,192136
18034.5,27174,202244
18034.5,198358,87167
18034.5,92353,143134
18034.5,168505,45898
18034.6,179485,121798
18034.8,125444,165605
18034.8,35350,16541
18034.9,119977,9695
18034.9,11483,207384
18034.9,10985,82731
18035.1,135104,104392
18035.3,142352,124098
18035.3,197470,169581
18035.3,93578,204692
18035.3,171896,87012
18035.3,209542,96474
18035.4,104863,194853
18035.4,101356,88876
18035.6,130076,181421
18035.6,209005,136125
18035.6,21656,190600
18035.7,112881,157929
18035.9,47305,142992
18035.9,26895,20989
18036.0,77500,80346
18036.0,188131,111703
18036.0,116367,92155
18036.0,190530,92421
18036.1,114017,71973
18036.1,207481,15036
18036.1,167120,106485
18036.2,210002,196581
18036.2,8163,37428
18036.3,177756,204816
18036.3,33090,17624
18036.4,169125,96030
18036.4,148699,8489
18036.4,178012,117944
18036.6,97521,116376
18036.6,150450,36095
18036.7,104342,82414
18036.7,65434,29739
18036.7,48771,130821
18036.8,147239,30870
18036.8,68233,184559
18036.8,160399,74862
18036.9,128765,52475
18036.9,19412,118500
18036.9,187005,116683
18037.2,212471,178763
18037.4,83778,175070
18037.4,17023,144178
18037.4,78631,223179
18037.4,186007,183558
18037.5,208062,94763
18037.5,31814,52685
18037.6,62058,207191
18037.6,94606,145233
18037.7,122527,210675
18037.9,34018,160418
18038.0,17235,81078
18038.0,187939,188447
18038.1,107687,201631
18038.1,150706,19333
18038.1,83106,168385
18038.1,122115,178286
18038.1,33642,217331
18038.2,167718,154084
18038.2,33825,113408
18038.2,14526,217944
18038.3,40112,79724
18038.3,84583,185947
18038.3,136025,74461
18038.4,65694,51459
18038.4,144399,71945
18038.4,79383,161068
18038.5,131746,168031
18038.5,152212,40421
18038.5,163703,188909
18038.6,88504,220864
18038.7,10798,216330
18038.8,21292,11917
18039.0,202118,151197
18039.0,55262,201053
18039.0,162033,167507
18039.0,164407,143019
18039.1,79192,126601
18039.1,211641,179566
18039.1,118893,19129
18039.2,41439,115239
18039.2,121750,53483
18039.2,37661,81941
18039.3,83706,192466
18039.5,90536,104521
18039.5,97134,134998
18039.6,83654,63370
18039.6,70116,117858
18039.6,25378,13265
18039.6,100702,161317
18039.7,41864,213248
18039.7,151437,189039
18039.7,200047,41770
18039.7,134932,122372
18039.8,80882,130382
18039.8,103086,132499
18039.8,63105,56398
18039.9,12755,13248
18039.9,156635,220947
18039.9,123361,74907
18040.0,222081,28179
18040.0,69329,190711
18040.0,105710,95928
18040.0,13410,149495
18040.1,95033,145024
18040.1,101279,132187
18040.1,144141,73327
18040.2,163379,178362
18040.2,33728,25344
18040.3,208377,88889
18040.3,95841,197909
18040.3,157932,133463
18040.3,10552,11876
18040.3,187063,87304
18040.4,136139,119796
18040.4,135136,36642
18040.5,160712,83500
18040.5,161611,193808
18040.6,155641,88178
18040.6,133618,139549
18040.6,147567,78588
18040.7,4361,96562
18040.7,28732,109193
18040.7,208864,190139
18040.8,164956,6985
18040.9,69607,171859
18040.9,203466,151643
18041.0,189110,13462
18041.0,44698,137424
18041.1,162460,203058
18041.2,38738,215393
18041.2,8276,150095
18041.4,28808,50012
18041.4,82232,109780
18041.4,181010,53448
18041.4,203154,160295
18041.6,222396,192895
18041.6,185014,36197
18041.7,147033,85209
18042.0,125402,137750
18042.0,45398,120498
18042.1,89738,143202
18042.1,202372,188986
18042.2,210672,181747
18042.2,126924,50400
18042.4,73139,146299
18042.4,78017,202158
18042.4,54336,180942
18042.5,83110,125777
18042.5,208510,189179
18042.5,31948,150333
18042.6,99534,103424
18042.6,202654,210925
18042.7,11027,75400
18042.8,20717,90797
18042.9,171959,67225
18043.0,56095,52970
18043.1,71075,147329
18043.2,35985,28633
18043.2,153834,62726
18043.2,175592,139209
18043.2,61036,13760
18043.2,86584,188051
18043.3,178570,202051
18043.3,144271,41403
18043.3,124701,125160
18043.4,198157,75299
18043.4,169318,15509
18043.5,23451,170996
18043.5,140286,193642
18043.6,9777,45892
18043.6,219573,46081
18043.8,9526,219205
18043.8,129861,48840
18043.9,75882,9821
18043.9,148887,158015
18043.9,87829,74596
18044.0,168116,142422
18044.0,35179,223100
18044.0,71522,50544
18044.1,86686,42596
18044.2,169944,67440
18044.3,3692,193099
18044.3,77338,148840
18044.3,50636,46004
18044.4,167438,106296
18044.5,135077,85964
18044.5,175441,25004
18044.5,36860,125161
18044.5,65024,1790
18044.5,61740,117109
18044.6,86409,79153
18044.6,150176,2997
18044.7,94254,181605
18044.7,175056,30991
18044.7,41868,106277
18044.8,184433,201809
18044.8,30779,167434
18044.9,77342,96349
18044.9,57443,35014
18045.0,119269,196014
18045.2,97943,109011
18045.3,123424,198534
18045.3,174088,216427
18045.3,64871,178347
18045.4,206404,21461
18045.4,138457,184488
18045.4,147893,29414
18045.5,143562,132510
18045.5,140682,39282
18045.5,136404,115825
18045.5,53844,187935
18045.5,23839,133791
18045.6,14584,118864
18045.6,108901,119746
18045.6,146485,121209
18045.7,80784,189603
18045.7,66704,214028
18045.7,57121,151600
18045.7,111069,90316
18045.7,141862,15795
18045.9,18092,123750
18045.9,107182,47181
18045.9,200757,168171
18046.1,169313,110195
18046.2,100264,117581
18046.3,98958,98473
18046.3,173484,141374
18046.3,91165,31098
18046.3,140839,103037
18046.3,190803,58376
18046.4,198227,5959
18046.6,121373,176553
18046.7,111182,139443
18046.7,60205,64883
18046.7,40664,72259
18046.7,190060,200668
18046.7,212199,173066
18046.8,200816,4101
18046.8,17639,26449
18046.8,117031,156705
18046.9,12760,64155
18046.9,105451,115071
18047.0,56955,197757
18047.1,14796,36735
18047.1,75828,61384
18047.2,191762,151023
18047.2,156740,202516
18047.3,84060,62102
18047.3,37554,173070
18047.3,108412,78774
18047.3,145940,155101
18047.4,45910,164100
18047.5,145712,129924
18047.5,90286,168641
18047.6,205993,137484
18047.6,109137,107022
18047.6,98686,48202
18047.6,124130,63168
18047.7,78836,185487
18047.8,121379,15105
18047.8,109185,146089
18047.8,101821,63663
18047.8,86576,169530
18047.9,117908,222070
18047.9,140413,189945
18048.0,13510,70375
18048.0,158589,158052
18048.0,19079,49325
18048.1,154031,189872
18048.1,56889,125670
18048.1,87284,79478
18048.3,4019,55524
18048.4,194373,30753
18048.5,197743,125546
18048.6,182354,158440
18048.7,103974,62739
18048.7,203296,74202
18048.8,139893,170058
18048.8,68566,94278
18048.8,130358,122160
18048.8,189376,123074
18048.9,83947,53248
18048.9,108509,11984
18049.0,58005,194314
18049.0,68360,145047
18049.1,151818,188746
18049.1,39953,51430
18049.2,99572,149366
18049.2,130888,144347
18049.3,179528,88490
18049.3,215375,128089
18049.5,168216,193880
18049.5,44101,192091
18049.6,44371,36689
18049.7,128009,48247
18049.8,142117,168246
18049.9,137348,8866
18050.0,19485,214432
18050.1,200366,1673
18050.1,220868,165334
18050.1,185380,39591
18050.1,132574,119540
18050.2,161961,167176
18050.2,161616,126669
18050.3,4123,1733
18050.3,107829,3106
18050.3,189318,72021
18050.3,75153,4493
18050.4,182939,176693
18050.4,46993,28053
18050.5,137464,39032
18050.5,162471,138007
18050.6,92914,70077
18050.6,20714,97793
18050.8,120323,148111
18050.8,182776,59207
18050.8,217071,222263
18050.8,170365,199120
18050.8,106241,99421
18050.9,124781,14710
18050.9,184246,44927
18050.9,221598,113746
18051.0,86840,148335
18051.2,24998,138453
18051.3,60231,55421
18051.4,181479,148579
18051.4,12205,19489
18051.5,73498,142352
18051.5,8625,47016
18051.7,82440,4104
18051.8,153887,37798
18051.9,186833,215194
18051.9,20168,78453
18051.9,63038,148555
18052.0,102015,177480
18052.1,86960,100622
18052.2,36687,207224
18052.4,189835,20559
18052.5,90664,14076
18052.5,60855,219853
18052.5,158641,201590
18052.5,156135,103993
18052.7,85557,7766
18052.8,205402,118109
18052.8,93273,144975
18052.9,113206,48690
18053.0,173191,99633
18053.0,162166,77431
18053.1,186937,19269
18053.1,40428,99614
18053.1,166173,40442
18053.2,83015,94555
18053.2,1361,80810
18053.2,199582,70717
18053.3,22884,49123
18053.3,146010,145421
18053.3,27077,6884
18053.3,145285,24396
18053.4,205635,85047
18053.5,3235,76506
18053.5,204254,22203
18053.6,146679,63633
18053.6,44455,179651
18053.6,36396,70495
18053.6,129269,38255
18053.6,113947,72341
18053.7,126938,205171
18053.7,65981,64642
18053.7,129971,155662
18053.8,120025,28042
18053.8,1774,103728
18053.8,162579,99585
18053.9,86387,115401
18053.9,213772,215884
18054.0,155816,35684
18054.0,158128,182266
18054.1,82361,46566
18054.2,83660,76401
18054.3,165911,128714
18054.5,204989,63550
18054.5,73479,214039
18054.6,95686,29855
18054.7,52376,155248
18055.0,47166,178706
18055.1,7055,190634
18055.1,185694,54958
18055.1,76370,217915
18055.2,214686,222242
18055.3,107254,176417
18055.3,166025,79385
18055.3,172664,40407
18055.4,206851,98825
18055.4,156744,125628
18055.4,140081,132805
18055.6,181327,109655
18055.6,207282,94248
18055.7,212938,140746
18055.7,22277,28670
18055.8,172386,174245
18055.8,169607,160609
18055.8,169091,177595
18055.9,197311,86926
18056.0,112841,27772
18056.0,67826,58196
18056.1,135999,146274
18056.1,150794,57942
18056.1,102533,121389
18056.2,154295,180993
18056.2,90431,6438
18056.3,77445,109045
18056.4,22506,30426
18056.5,191404,37139
18056.5,89932,119362
18056.6,136607,126596
18056.6,25591,114862
18056.7,118606,83600
18056.7,11713,212385
18056.7,5920,222607
18056.8,28668,177508
18056.8,194114,63940
18056.9,144679,41978
18056.9,111770,121124
18056.9,106180,165087
18056.9,167897,172309
18057.0,7652,193301
18057.0,51727,117853
18057.0,101930,1166
18057.1,53945,72966
18057.2,212003,208668
18057.2,26673,209584
18057.3,49010,95890
18057.3,119944,29872
18057.3,128315,138337
18057.5,82157,156492
18057.5,102903,153879
18057.5,92270,221647
18057.6,45227,213316
18057.6,209875,77973
18057.7,154709,22217
18057.8,82099,30896
18057.8,30657,47984
18057.8,37056,133909
18057.9,156349,36141
18057.9,110897,48694
18057.9,140870,181779
18058.1,45412,145467
18058.1,75716,36777
18058.1,220721,118227
18058.1,94119,2512
18058.2,51151,213703
18058.2,147215,132497
18058.2,107252,179489
18058.3,186159,220172
18058.3,43844,21671
18058.3,208635,199506
18058.4,8570,72051
18058.4,75673,44094
18058.4,148281,194646
18058.5,129843,144107
18058.6,150133,29938
18058.6,142372,215818
18058.8,142093,215642
18058.9,199230,188476
18058.9,57289,111451
18058.9,217598,171356
18059.0,78042,8449
18059.0,91377,214100
18059.0,30772,203327
18059.1,55018,212520
18059.2,180652,91915
18059.3,159976,165877
18059.3,161520,36499
18059.4,213261,54248
18059.5,149441,91964
18059.5,156462,141234
18059.5,184563,76712
18059.5,70082,134850
18059.7,178074,213694
18059.7,196632,205964
18059.8,15541,72698
18059.9,33262,183874
18060.0,65451,38336
18060.0,217181,64894
18060.1,177270,102944
18060.1,151368,165780
18060.2,108586,98349
18060.2,166101,208299
18060.3,24404,105604
18060.3,72935,182112
18060.5,96749,119195
18060.6,85796,152556
18060.6,202934,222079
18060.7,191609,120179
18060.7,182790,93905
18060.8,208582,140096
18060.9,112628,216228
18060.9,70395,84637
18061.0,88540,143474
18061.0,148410,127228
18061.1,178926,199820
18061.1,26102,164149
18061.2,120476,4268
18061.2,41414,115680
18061.2,112145,53036
18061.5,34580,170392
18061.5,71832,24468
18061.5,65638,21606
18061.6,170108,43391
18061.6,163998,80087
18061.6,197979,61379
18061.7,23907,184470
18061.7,55947,124992
18061.7,155629,59294
18061.7,116671,2434
18061.7,90065,214200
18061.7,110707,181936
18061.7,18567,60017
18061.7,191565,211276
18061.8,82143,96354
18061.9,35947,100328
18061.9,197435,34903
18062.0,177507,37448
18062.0,147663,2221
18062.0,43022,115369
18062.1,55851,164647
18062.1,107927,161500
18062.2,56949,22724
18062.3,36703,197249
18062.3,191367,100671
18062.3,112561,82445
18062.4,64955,72605
18062.5,65055,145069
18062.5,189052,159276
18062.5,181004,7031
18062.6,172597,79075
18062.6,159102,133568
18062.6,102695,77474
18062.7,205468,208084
18062.8,129731,101157
18062.9,130962,167269
18062.9,138487,3163
18063.1,82961,34598
18063.1,219931,148997
18063.2,143224,179029
18063.2,123473,201947
18063.2,153973,17703
18063.2,56555,10440
18063.3,206907,104326
18063.3,164776,186811
18063.4,108903,111037
18063.4,21607,167913
18063.5,161493,40024
18063.5,81240,20715
18063.5,53267,211828
18063.5,85655,102427
18063.6,200074,218766
18063.6,168599,17331
18063.7,114684,191354
18063.8,62557,15179
18063.8,113897,30405
18063.9,159601,14425
18063.9,194430,172504
18063.9,31311,3320
18064.0,183893,2975
18064.0,90886,137102
18064.1,215615,188944
18064.1,97483,33274
18064.1,70454,192134
18064.2,202225,7695
18064.3,112544,71298
18064.3,68930,186731
18064.5,164503,20203
18064.5,133898,94404
18064.5,148605,43746
18064.6,66877,202723
18064.6,150447,176716
18064.6,59874,194191
18064.7,11544,3221
18064.7,123670,95414
18064.7,39343,46913
18064.8,9270,144930
18064.9,187176,194161
18065.0,58855,84358
18065.0,188819,83869
18065.0,20417,149824
18065.0,131607,176508
18065.1,47014,58506
18065.2,12039,105100
18065.2,121921,74005
18065.3,81447,85799
18065.3,119733,2089
18065.3,76439,147798
18065.4,193875,163241
18065.4,96540,155108
18065.6,202535,203393
18065.6,143277,199355
18065.7,39470,1671
18065.8,6267,61078
18065.9,166708,220089
18065.9,2515,87822
18065.9,172308,98638
